State,2024 Bachelors or Higher
Alabama,29.9
Alaska,32.8
Arizona,34.7
Arkansas,27.1
California,38.1
Colorado,47.8
Connecticut,42.6
Delaware,36
District of Columbia,65.5
Florida,35.8
Georgia,36.3
Hawaii,37.8
Idaho,33
Illinois,39.2
Indiana,30.7
Iowa,32.1
Kansas,36
Kentucky,27.9
Louisiana,27.8
Maine,37.1
Maryland,44.7
Massachusetts,48.3
Michigan,33.3
Minnesota,40
Mississippi,27
Missouri,33.5
Montana,36.3
Nebraska,35.4
Nevada,28.5
New Hampshire,41.5
New Jersey,44.5
New Mexico,31.8
New York,41.2
North Carolina,37.1
North Dakota,34
Ohio,32.4
Oklahoma,29.3
Oregon,37.8
Pennsylvania,36.4
Rhode Island,39
South Carolina,33.3
South Dakota,34.2
Tennessee,32.4
Texas,35.2
Utah,39.1
Vermont,45.1
Virginia,43.3
Washington,41
West Virginia,24.4
Wisconsin,34.6
Wyoming,32.3