observation_date,MEHOINUSALA672N,MEHOINUSARA672N,MEHOINUSAZA672N,MEHOINUSCAA672N,MEHOINUSCOA672N,MEHOINUSCTA672N,MEHOINUSDCA672N,MEHOINUSDEA672N,MEHOINUSFLA672N,MEHOINUSGAA672N,MEHOINUSHIA672N,MEHOINUSIAA672N,MEHOINUSIDA672N,MEHOINUSILA672N,MEHOINUSINA672N,MEHOINUSIAA672N,MEHOINUSKSA672N,MEHOINUSKYA672N,MEHOINUSLAA672N,MEHOINUSMAA672N,MEHOINUSMDA672N,MEHOINUSMEA672N,MEHOINUSMIA672N,MEHOINUSMNA672N,MEHOINUSMOA672N,MEHOINUSMSA672N,MEHOINUSMTA672N,MEHOINUSNEA672N,MEHOINUSNCA672N,MEHOINUSNDA672N,MEHOINUSNEA672N,MEHOINUSNHA672N,MEHOINUSNJA672N,MEHOINUSNMA672N,MEHOINUSNVA672N,MEHOINUSNYA672N,MEHOINUSOHA672N,MEHOINUSOKA672N,MEHOINUSORA672N,MEHOINUSPAA672N,MEHOINUSSCA672N,MEHOINUSSDA672N,MEHOINUSTNA672N,MEHOINUSTXA672N,MEHOINUSUTA672N,MEHOINUSVAA672N,MEHOINUSVTA672N,MEHOINUSWAA672N,MEHOINUSWIA672N,MEHOINUSWVA672N,MEHOINUSWYA672N
1/1/00,60570,50780,68020,80050,82480,85780,70480,86110,66440,71640,88130,70090,64310,78760,69870,70090,70200,62010,52520,79940,93240,63720,77820,92760,77110,58640,56040,71380,65510,61550,71380,87070,86180,60000,78240,69660,73460,55450,72660,72110,64240,62370,58300,66010,81300,80640,67700,72710,77090,50290,67760
1/1/01,58790,55750,71410,79030,82600,89200,68840,82940,60900,71190,79320,68520,63940,77200,67520,68520,69250,64270,55720,87370,89510,61220,75320,88090,69120,50430,53720,72920,63810,59850,72920,85830,86570,55390,75920,70420,69870,59540,69010,72730,63100,66330,59830,68320,79160,84010,68210,71050,75820,49620,66410
1/1/02,62100,53490,65620,78340,79760,88170,64520,82000,62800,70910,78120,67790,62290,70540,67790,67790,70390,60710,56160,82340,93160,60860,70540,90210,70650,51000,57530,70680,60310,59780,70680,91360,90120,58560,74250,69310,70490,60210,69040,70190,62450,62550,61160,66310,79040,81970,71010,74620,75810,48490,65670
1/1/03,60270,51770,66600,79760,80790,88920,72870,79300,63050,68660,83860,66950,68550,73050,68640,66950,71560,59760,54210,82440,84630,60040,72840,85460,70800,52950,55180,71140,60310,65380,71140,89900,90670,56790,73100,69220,70410,58080,67360,69460,62250,63940,60710,63530,79720,88630,69990,76860,74850,53000,68850
1/1/04,57810,55210,69200,77690,80310,86960,68580,75830,63980,64680,88770,68480,70010,72720,66810,68480,64810,56200,57500,82100,90120,65230,66690,88550,66500,54850,53590,69110,63510,61900,69110,89670,87240,62440,74500,70470,67950,62520,64700,69610,61070,64880,60090,65340,80290,80710,74700,78790,72180,52670,71650
1/1/05,56980,56230,69400,79380,77380,87180,69010,78590,65940,70440,91400,71320,67760,74240,65090,71320,64460,56290,57110,85920,92820,67370,70450,83160,65930,50430,57230,73510,64510,64720,73510,87410,97200,59740,73950,72360,67800,57740,67730,71020,61710,66190,60440,63540,84080,79630,77770,77680,68490,55900,68590
1/1/06,56570,55240,69550,82460,83020,93020,72260,78160,68080,73550,90140,71740,68890,72550,67680,71740,67900,58860,54390,82470,94900,68030,72510,83790,66450,51770,61270,71760,59320,61180,71760,92370,101400,59670,77930,71880,68420,57890,70190,72260,59050,67710,60660,64550,81430,85140,77480,81570,77050,57270,70120
1/1/07,61350,59290,68620,81000,88860,93220,73800,79340,66550,70690,93050,71080,71480,76310,68970,71080,70480,57340,60040,84970,95380,69610,71750,84380,66860,54180,63450,71470,63240,68600,71470,98210,87940,64460,78560,71130,71360,62810,73010,70400,64260,67460,59870,66930,77800,85980,68870,84410,74520,61170,70840
1/1/08,62350,55500,65770,79930,85440,90680,77930,71080,62890,64810,86250,70300,66480,74660,65220,70300,67120,57690,55460,84560,89320,66210,69800,77000,64540,51090,60140,71120,60180,69580,71120,92770,91550,59020,76750,70740,65800,64640,72520,72060,59100,72340,55660,65180,87670,86900,71090,79390,71780,53260,74770
1/1/09,56280,51430,64380,79010,78730,91280,74800,73350,64230,61000,78330,71390,65840,74420,62360,71390,62940,60050,63950,83570,90350,66860,64740,78950,68650,49380,56920,69810,58990,70480,69810,90270,91180,61290,72400,70680,64580,64580,69110,67810,57850,64500,57030,66830,82330,85160,73640,85010,72120,56990,73860
1/1/10,56840,53580,65120,75370,83640,91640,79050,76670,61190,61260,82670,68060,65330,70440,64070,68060,63950,57070,54570,84610,89150,66550,64260,72650,63620,52990,57320,72900,60860,70820,72900,92520,87430,62670,71090,69120,63710,59850,70260,67090,57900,62970,53580,65630,78730,83820,77660,77980,69910,59400,72480
1/1/11,57360,55620,65480,71870,78960,88100,74410,73610,60740,61910,79520,67630,63910,68190,59850,67630,62150,53670,54750,85260,92760,66920,65830,77870,61640,55340,54240,74900,60880,75900,74900,88720,83950,56540,63350,68190,60130,65260,69390,67210,53980,63600,56940,66050,74730,84330,69840,76560,70110,56320,73410
1/1/12,57430,51550,62160,75340,75650,84880,86200,64700,60870,63580,74340,70610,63320,68360,60980,70610,66060,54280,51640,84100,94910,64950,66080,81640,65750,48410,59570,68960,54900,73680,68960,89600,88110,57370,62540,63000,58630,63960,68410,68580,58660,65290,56810,68610,77080,85390,73440,82160,70130,57540,75990
1/1/13,61770,51400,68680,79360,88650,90450,78400,70610,63350,61340,83850,78530,63270,70410,64560,78530,62420,58580,60600,81620,90530,71740,73840,83970,60440,42210,56390,75220,60490,77220,75220,90200,83220,52430,67680,65230,66250,60260,63960,72000,56870,69720,56600,67100,79690,86030,85520,83440,67520,56220,88040
1/1/14,54420,57820,63390,77850,78430,90300,87880,74040,59390,63780,91670,74410,68780,70680,61860,74410,68790,55070,54580,81280,98030,66560,66930,86550,72890,45720,65770,73200,60210,78160,73200,94470,83970,60090,64190,69900,63900,60750,75780,71010,57830,68280,56270,69340,81580,85150,78140,76030,74750,50910,71680
1/1/15,57330,55130,67300,81970,85780,93880,90250,74390,62890,65390,83100,78380,66490,77810,66960,78380,70670,54600,59150,87410,94790,65380,69820,88530,76250,51570,66200,77890,65430,73950,77890,97470,88050,58110,66990,74710,68650,60640,78360,77780,59710,70930,60960,72740,85340,79200,76630,86610,71390,55160,78470
1/1/16,60290,58610,72900,85080,90090,96930,90620,74110,65340,68340,92090,75450,72220,78370,71620,75450,72530,57920,53870,92260,94170,64930,72890,89650,70240,52470,72870,75800,68640,76840,75800,97360,87410,61860,70770,78440,68920,65040,75500,77850,69370,73350,65550,74240,86150,84840,77670,89770,76370,56630,73830
1/1/17,63820,62420,74900,87880,94080,93230,102000,81510,66610,72750,92340,79630,74650,82770,73730,79630,71390,62320,54660,95660,103000,66890,70770,87800,70930,54300,72030,74760,62170,75490,74760,94890,89380,57210,72820,77220,76140,65100,78410,76890,68430,71410,69390,75400,87560,88840,79900,89760,79650,58920,74700
1/1/18,61420,61230,76600,86690,89820,89550,105500,79960,67210,68650,98520,84520,72230,86270,73660,84520,78640,67100,61460,106200,106000,72150,74350,88330,75920,52620,70940,83110,65640,81790,83110,100000,91230,59380,76090,82740,75800,66950,85070,79360,70650,73130,68950,73530,94780,94890,86170,98060,77030,62200,76920
1/1/19,68110,66100,85650,94660,87870,105800,112800,89920,70740,68630,106700,80050,79970,90170,80830,80050,88660,67460,62670,106300,115800,80650,77710,98680,73440,54280,72950,88560,74120,84870,88560,105300,106300,64370,85930,87080,78370,71990,90190,85540,75180,77870,68630,81740,102400,98550,90050,99930,81630,65090,78940
1/1/20,65600,60900,80470,93140,100500,95280,105800,83990,69280,71090,96950,82540,80030,89160,80130,82540,87660,68080,61390,105300,113700,76400,77240,94460,74580,54140,68060,86660,72480,76900,86660,106600,102600,61060,73360,82350,72420,62940,92180,84910,72380,84190,65940,82050,100700,98610,80670,97580,80850,62340,78500
1/1/21,65360,58310,81310,93660,97540,92950,104100,78860,68580,70610,94370,83160,88310,90990,80590,83160,87230,63870,65680,99390,111700,81680,74040,92360,73010,53550,74630,89680,72210,79090,89680,102000,101700,61380,73870,83720,71970,69000,93980,83380,71810,84840,71370,77390,100600,92160,87350,100600,80300,53770,81580
1/1/22,63870,57540,78300,90930,95870,96720,108400,86090,69680,72200,97010,81360,77370,83170,74650,81360,77870,59560,62180,99720,115400,80130,73550,96350,76240,51820,77790,83540,69370,83910,83540,90580,98430,60150,77100,80920,71980,67630,92510,76970,65840,71620,69700,79560,102100,90790,76960,95330,78170,55920,77920
1/1/23,62230,64880,84800,92200,99140,94620,113900,88570,74070,74290,99880,82950,75820,90090,78900,82950,87030,63590,59140,109300,104600,77700,78950,92680,80310,56490,81270,91500,70390,78950,91500,101300,93960,62560,83410,83710,75680,69070,91030,81880,70890,83860,74580,81110,103800,98990,87400,95850,81750,61970,79200
1/1/24,65560,64840,84700,100600,106500,99240,104800,85860,75630,81210,98240,85480,81650,84210,76710,85480,87690,64790,60740,113900,109700,90730,79460,92350,78390,55980,81920,86140,67220,88080,86140,111800,103500,64140,80590,86830,80520,65310,89700,80060,76780,79850,75860,81490,104000,97720,85260,97500,82560,63150,78680